period,scenario,subperiod,ThermalA_01 - Eastern,ThermalA_01 - Western,PortfolioA_01 - Eastern,PortfolioA_01 - Western,PortfolioA_02 - Eastern,PortfolioA_02 - Western,PricetakerA_01 - Eastern,PricetakerA_01 - Western,SelfproducerA_01 - Eastern,SelfproducerA_01 - Western,SelfproducerA_02 - Eastern,SelfproducerA_02 - Western,UpstreamA_01 - Eastern,UpstreamA_01 - Western,DownstreamA_01 - Eastern,DownstreamA_01 - Western
4,2,2,66400.00048828125,0.0,10000.0,0.0,0.0,60000.0,0.0,0.0,35000.0,0.0,0.0,0.0,1050.0000076293945,0.0,7350.0,0.0
4,2,3,80000.0,0.0,31600.0,0.0,0.0,0.0,0.0,28800.0,40000.0,0.0,0.0,0.0,4049.9998779296875,0.0,28350.0,0.0
4,3,1,58800.0,0.0,6399.999755859375,0.0,0.0,0.0,0.0,0.0,30000.0,0.0,0.0,0.0,900.0000305175781,0.0,6300.0,0.0
4,3,2,66400.00048828125,0.0,10000.0,0.0,0.0,60000.0,0.0,0.0,35000.0,0.0,0.0,0.0,1050.0000076293945,0.0,7350.0,0.0
4,3,3,80000.0,0.0,31600.0,0.0,0.0,0.0,0.0,28800.0,40000.0,0.0,0.0,0.0,4049.9998779296875,0.0,28350.0,0.0
5,1,1,960.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,0.0,5600.0,0.0
5,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1,3,5680.000061035156,0.0,0.0,0.0,0.0,6200.0,0.0,2400.0,2000.0,0.0,0.0,0.0,2400.0,0.0,16800.0,0.0
5,2,1,3419.9974975585938,0.0,0.0,0.0,0.0,800.0,0.0,0.0,899.9999389648438,0.0,0.0,0.0,1400.0000610351562,0.0,9799.999877929688,0.0
5,2,2,2580.0,0.0,0.0,0.0,0.0,7600.0,0.0,0.0,0.0,0.0,0.0,0.0,550.0000305175781,0.0,3850.0,0.0
5,2,3,5680.000061035156,0.0,0.0,0.0,0.0,6200.0,0.0,2400.0,2000.0,0.0,0.0,0.0,2400.0,0.0,16800.0,0.0
5,3,1,59600.001953125,0.0,13600.0009765625,0.0,0.0,6000.0,0.0,0.0,30000.0,0.0,0.0,0.0,1400.0000305175781,0.0,9800.0,0.0
5,3,2,11540.00048828125,0.0,0.0,0.0,0.0,24600.0,0.0,0.0,6400.000015258789,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,3,3,60000.0,0.0,16000.0,0.0,0.0,8000.0,0.0,2400.0,30000.0,0.0,0.0,0.0,3100.0,0.0,21700.0,0.0
6,1,1,960.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,0.0,5600.0,0.0
6,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1,3,5680.000061035156,0.0,0.0,0.0,0.0,6200.0,0.0,2400.0,2000.0,0.0,0.0,0.0,2400.0,0.0,16800.0,0.0
6,2,1,3419.9974975585938,0.0,0.0,0.0,0.0,800.0,0.0,0.0,899.9999389648438,0.0,0.0,0.0,1400.0000610351562,0.0,9799.999877929688,0.0
6,2,2,2580.0,0.0,0.0,0.0,0.0,7600.0,0.0,0.0,0.0,0.0,0.0,0.0,550.0000305175781,0.0,3850.0,0.0
6,2,3,5680.000061035156,0.0,0.0,0.0,0.0,6200.0,0.0,2400.0,2000.0,0.0,0.0,0.0,2400.0,0.0,16800.0,0.0
6,3,1,59600.001953125,0.0,13600.0009765625,0.0,0.0,6000.0,0.0,0.0,30000.0,0.0,0.0,0.0,1400.0000305175781,0.0,9800.0,0.0
6,3,2,11540.00048828125,0.0,0.0,0.0,0.0,24600.0,0.0,0.0,6400.000015258789,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,3,3,60000.0,0.0,16000.0,0.0,0.0,8000.0,0.0,2400.0,30000.0,0.0,0.0,0.0,3100.0,0.0,21700.0,0.0
