period,scenario,subscenario,subperiod,ThermalA_01 - Eastern,ThermalA_01 - Western,PortfolioA_01 - Eastern,PortfolioA_01 - Western,PortfolioA_02 - Eastern,PortfolioA_02 - Western,PricetakerA_01 - Eastern,PricetakerA_01 - Western,SelfproducerA_01 - Eastern,SelfproducerA_01 - Western,SelfproducerA_02 - Eastern,SelfproducerA_02 - Western,UpstreamA_01 - Eastern,UpstreamA_01 - Western,DownstreamA_01 - Eastern,DownstreamA_01 - Western
1,1,1,2,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1,1,1,2,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1,1,1,2,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1,1,1,2,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1,1,1,3,6000.000089406967,0.0,0.0,0.0,2399.9999463558197,1199.9999731779099,2399.9999463558197,16800.000071525574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,3,2.0000000298023224e7,0.0,0.0,0.0,7.999999821186066e6,3.999999910593033e6,7.999999821186066e6,5.600000023841858e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,3,6000.000089406967,0.0,0.0,0.0,2399.9999463558197,1199.9999731779099,2399.9999463558197,16800.000071525574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,3,2.0000000298023224e7,0.0,0.0,0.0,7.999999821186066e6,3.999999910593033e6,7.999999821186066e6,5.600000023841858e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,3,6000.000089406967,0.0,0.0,0.0,2399.9999463558197,1199.9999731779099,2399.9999463558197,16800.000071525574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,3,2.0000000298023224e7,0.0,0.0,0.0,7.999999821186066e6,3.999999910593033e6,7.999999821186066e6,5.600000023841858e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,3,6000.000089406967,0.0,0.0,0.0,2399.9999463558197,1199.9999731779099,2399.9999463558197,16800.000071525574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,3,2.0000000298023224e7,0.0,0.0,0.0,7.999999821186066e6,3.999999910593033e6,7.999999821186066e6,5.600000023841858e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,3,6000.000089406967,0.0,0.0,0.0,2399.9999463558197,1199.9999731779099,2399.9999463558197,16800.000071525574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,3,2.0000000298023224e7,0.0,0.0,0.0,7.999999821186066e6,3.999999910593033e6,7.999999821186066e6,5.600000023841858e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,3,6000.000089406967,0.0,0.0,0.0,2399.9999463558197,1199.9999731779099,2399.9999463558197,16800.000071525574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,3,2.0000000298023224e7,0.0,0.0,0.0,7.999999821186066e6,3.999999910593033e6,7.999999821186066e6,5.600000023841858e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,3,6000.000089406967,0.0,0.0,0.0,2399.9999463558197,1199.9999731779099,2399.9999463558197,16800.000071525574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,3,2.0000000298023224e7,0.0,0.0,0.0,7.999999821186066e6,3.999999910593033e6,7.999999821186066e6,5.600000023841858e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,3,6000.000089406967,0.0,0.0,0.0,2399.9999463558197,1199.9999731779099,2399.9999463558197,16800.000071525574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,3,2.0000000298023224e7,0.0,0.0,0.0,7.999999821186066e6,3.999999910593033e6,7.999999821186066e6,5.600000023841858e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,2,1,1759.9999904632568,0.0,0.0,0.0,0.0,399.9999910593033,799.9999821186066,5600.000023841858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,2,1,1759.9999904632568,0.0,0.0,0.0,0.0,399.9999910593033,799.9999821186066,5600.000023841858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,2,1,1759.9999904632568,0.0,0.0,0.0,0.0,399.9999910593033,799.9999821186066,5600.000023841858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,2,1,1759.9999904632568,0.0,0.0,0.0,0.0,399.9999910593033,799.9999821186066,5600.000023841858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,2,1,1759.9999904632568,0.0,0.0,0.0,0.0,399.9999910593033,799.9999821186066,5600.000023841858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,2,1,1759.9999904632568,0.0,0.0,0.0,0.0,399.9999910593033,799.9999821186066,5600.000023841858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,2,1,1759.9999904632568,0.0,0.0,0.0,0.0,399.9999910593033,799.9999821186066,5600.000023841858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,2,1,1759.9999904632568,0.0,0.0,0.0,0.0,399.9999910593033,799.9999821186066,5600.000023841858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,2,1,1759.9999904632568,0.0,0.0,0.0,0.0,399.9999910593033,799.9999821186066,5600.000023841858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,2,1,1759.9999904632568,0.0,0.0,0.0,0.0,399.9999910593033,799.9999821186066,5600.000023841858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,2,1,1759.9999904632568,0.0,0.0,0.0,0.0,399.9999910593033,799.9999821186066,5600.000023841858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,2,1,1759.9999904632568,0.0,0.0,0.0,0.0,399.9999910593033,799.9999821186066,5600.000023841858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,2,1,1759.9999904632568,0.0,0.0,0.0,0.0,399.9999910593033,799.9999821186066,5600.000023841858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,2,1,1759.9999904632568,0.0,0.0,0.0,0.0,399.9999910593033,799.9999821186066,5600.000023841858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,2,1,1759.9999904632568,0.0,0.0,0.0,0.0,399.9999910593033,799.9999821186066,5600.000023841858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,2,1,1759.9999904632568,0.0,0.0,0.0,0.0,399.9999910593033,799.9999821186066,5600.000023841858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,2,2,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1,1,2,2,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1,1,2,2,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1,1,2,2,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1,1,2,2,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1,1,2,2,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1,1,2,2,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1,1,2,2,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1,1,2,2,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1,1,2,2,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1,1,2,2,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1,1,2,2,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
